"Author","tDegr","CSCL_1995","CSCL_1997","CSCL_1999","CSCL_2002","CSCL_2003","CSCL_2005","CSCL_2007","CSCL_2009","CSCL_2011","CSCL_2013","CSCL_2015","CSCL_2017","CSCL_2019","ICLS_1996","ICLS_1998","ICLS_2000","ICLS_2004","ICLS_2006","ICLS_2008","ICLS_2010","ICLS_2012","ICLS_2014","ICLS_2016","ICLS_2018","ICLS_2020","ISLS_2021"
"Ferneding__Karen",3,"","","middle.school","","","","","","","","","","","","","","","","","","","","","","",""
"Gibson__Shanan_G",3,"","","technology.support","","","","","","","","","","","","","","","","","","","","","","",""
"Martin__Fred",3,"","","learning.environment","","","","","","","","","middle.school","","","","","","","","","","","","","",""
"Munroe__Michael",3,"","","professional.development","","","","","","","","","","","","","","","","","","","","","","",""
"Puthoff__Adrienne_Kennedy",3,"","","middle.school","","","","","","","","","","","","","","","","","","","","","","",""
"Schank__Patricia_K",3,"","","professional.development","","","","","","","","","","","","","","","","","","","","","","",""
"Van_Metre__Christina_A.",3,"","","technology.support","","","","","","","","","","","","","","","","","","","","","","",""
"Winn__William",3,"","","learning.environment","","","","","","","","","","","","collaborative.learning","","","","","","","","","","",""
"Zaritsky__Raul",3,"","","professional.development","","","","","","","","","","","","","","","","","","","","","","",""
"Avouris__N.M.",3,"","","","learning.environment","","","","","","","","","","","","","","","","","","","","","",""
"Beer__Martin",3,"","","","case.study","","","","","","","","","","","","","","","","","","","","","",""
"Brown__Richard_S.",3,"","","","preservice.teacher","","","","","","","","","","","","","","","","","","","","","",""
"Canny__John",3,"","","","learning.technology","","","","","","","","","","","","","","","","","","","","","",""
"Chung__Mark",3,"","","","learning.science","","","","","","","","","","","","","","professional.development","","","","","","","",""
"Dimitracopoulou__A.",3,"","","","learning.environment","","","","","","","","","","","","","","","","","","","","","",""
"Fidas__C.",3,"","","","learning.environment","","","","","","","","","","","","","","","","","","","","","",""
"Glaser__Daniel",3,"","","","learning.technology","","","","","","","","","","","","","","","","","","","","","",""
"Golan__Ravit",3,"","","","middle.school","","","","","","","","","","","","","","","","","","","","","",""
"Green__Sharon",3,"","","","case.study","","","","","","","","","","","","","","","","","","","","","",""
"Haake__Jörg_M.",3,"","","","individual.learning","collaborative.learning","","","","","","","","","","","","","","","","","","","","",""
"Hundhausen__Christopher_D.",3,"","","","collaborative.learning","learning.environment","","","","","","","","","","","","","","","","","","","","",""
"Iivonen__Marjut",3,"","","","learning.environment","","","","","","","","","","","","","","","","","","","","","",""
"Iles__Alastair",3,"","","","learning.technology","","","","","","","","","","","","","","","","","","","","","",""
"Kligyte__Giedre",3,"","","","learning.environment","","","","","","","","","","","","","","","","","","","","","",""
"Komis__V.",3,"","","","learning.environment","","","","","","","","","","","","","","","","","","","","","",""
"Lahti__Henna",3,"","","","learning.environment","","","","","","","","","","","","","","","","","","","","","",""
"Lallimo__Jiri",3,"","","","learning.environment","","","","","","","","","","","","","","","","","","","","","",""
"Leinonen__Teemu",3,"","","","learning.environment","","","","","","","","","","","","","","","","","","","","","",""
"Lesgold__Alan",3,"","","","collaborative.learning","","","","","","","","","","learning.activity","","","","","","","","","","","",""
"Lundby__Knut",3,"","","","learning.environment","","","","","","","","","","","","","","","","","","","","","",""
"Lutgens__Gaby",3,"","","","group.work","","","","","","","","","","","","","","","","","","","","","",""
"Mambrey__Peter",3,"","","","learning.environment","","","","","","","","","","","","","","","","","","","","","",""
"Marshall__Sue_K.",3,"","","","preservice.teacher","","","","","","","","","","","","","","","","","","","","","",""
"Pipek__Volkmar",3,"","","","learning.environment","","","","","","","","","","","","","","","","","","","","","",""
"Plugge__Leo",3,"","","","group.work","","","","","","","","","","","","","","","","","","","","","",""
"Salo__Piritta",3,"","","","learning.gain","","","","","","","","","","","","","","","","","","","","","",""
"Schwarz__Jennifer",3,"","","","preservice.teacher","","","","","","","","","","","","","","","","","","","","","",""
"Slack__Frances",3,"","","","case.study","","","","","","","","","","","","","","","","","","","","","",""
"Solheim__Ivar",3,"","","","activity.theory","learning.environment","","","","","","","","","","","","","","","","","","","","",""
"Stampen__John",3,"","","","learning.science","","","","","","","","","","","","","","","","","","","","","",""
"Steinkuehler__Constance_A.",3,"","","","learning.science","","","","","","","","","","","","","community.practice","","","","","","","","",""
"Team__and_the_STEP",3,"","","","learning.science","","","","","","","","","","","","","","","","","","","","","",""
"Vermunt__Jan",3,"","","","group.work","","","","","","","","","","","","","","","","","","","","","",""
"Virtanen__Otso",3,"","","","learning.environment","","","","","","","","","","","","","","","","","","","","","",""
"Won__Markus",3,"","","","learning.environment","","","","","","","","","","","","","","","","","","","","","",""
"Woods__David_K.",3,"","","","learning.science","","","","","","","","","","","","","","","","","","","","","",""
"Allmendinger__Katrin",3,"","","","","collaborative.learning","","","","","","","","","","","","","","","","","","","","",""
"Baker__Michael_J.",3,"","","","","interaction.analysis","","","","","","","","","","","","","","","","","","","","",""
"Bouillion__Lisa",3,"","","","","learning.environment","","","","","","","","","","","","","","","","","","","","",""
"Boxtel__Carla_A._M._van",3,"","","","","learning.environment","","","","","","","","","","","","","","","","","","","","",""
"Chen__Weiqin",3,"","","","","knowledge.building","","educational.setting","","","","","","","","","","","","","","","","","","",""
"Dreher__D.",3,"","","","","science.learning","","","","","","","","","","","","","","","","","","","","",""
"Drie__Jannet_van",3,"","","","","learning.environment","","","","","","","","","","","","","","","","","","","","",""
"Graner__Mark",3,"","","","","preliminary.result","","","","","","","","","","","","","","","","","","","","",""
"Griswold__William_G.",3,"","","","","classroom.discourse","","","","","","","","","","","","","","","","","","","","",""
"Hammer__David_M.",3,"","","","","science.learning","","","","","","","","","","","","","","","","","","","","",""
"Jensen__Nils",3,"","","","","learning.environment","","","","","","","","","","","","","","","","","","","","",""
"Kessels__Joseph",3,"","","","","preliminary.result","","","","","","","","","","","","","","","","","","","","",""
"Klawe__Maria_M.",3,"","","","","learning.environment","","","","","","","","","","","","","","","","","","","","",""
"Mulder__Ingrid",3,"","","","","preliminary.result","","","","","","","","","","","","","","","","","","","","",""
"Nurmela__Kari",3,"","","","","social.interaction","","","","","","","","","","","","","","","","","","","","",""
"Olbrich__Stephan",3,"","","","","learning.environment","","","","","","","","","","","","","","","","","","","","",""
"Pata__Kai",3,"","","","","learning.activity","problem.solving","","","","","","","","","","","","","","","","","","","",""
"Ratto__Matt",3,"","","","","classroom.discourse","","","","","","","","","","","","","","","","","","","","",""
"Sarapuu__Tago",3,"","","","","learning.activity","problem.solving","","","","","","","","","","","","","","","","","","","",""
"Seipel__Stefan",3,"","","","","learning.environment","","","","","","","","","","","","","","","","","","","","",""
"Séjourné__Arnauld",3,"","","","","interaction.analysis","","","","","","","","","","","","","","","","","","","","",""
"Swaak__Janine",3,"","","","","preliminary.result","","","","","","","","","","","","","","","","","","","","",""
"Troitzsch__H.",3,"","","","","collaborative.learning","","","","","","","","","","","","","","","","","","","","",""
"Truong__Tan_Minh",3,"","","","","classroom.discourse","","","","","","","","","","","","","","","","","","","","",""
"Wu__Mike",3,"","","","","learning.environment","","","","","","","","","","","","","","","","","","","","",""
"Zumbach__Jörg",3,"","","","","collaborative.learning","student.interaction","","","","","","","","","","","","","","","","","","","",""
"Artman__Henrik",3,"","","","","","collaborative.learning","","","","","","","","","","","","","","","","","","","",""
"Beers__Pieter_J.",3,"","","","","","learning.environment","","","","","","","","","","","","","","","","","","","",""
"Chang__Sung.Bin",3,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Cheng__Hercy_N.H.",3,"","","","","","collaborative.learning","","","","","","","","","","","","","","","","","","","",""
"de_Lucena__Carlos_José_Pereira",3,"","","","","","online.course","","","","","","","","","","","","","","","","","","","",""
"Feltovich__Paul",3,"","","","","","learning.environment","","","","","","","","","","","","","","","","","","","",""
"Gijselaers__Wim_H.",3,"","","","","","learning.environment","","","","","","","","","","","","","","","","","","","",""
"Hisamatsu__Shinichi",3,"","","","","","collaborative.learning","","","","","","","","","","","","","","","","","","","",""
"Hoeksema__Kay",3,"","","","","","collaborative.learning","","","","","","","","","","","","","","","","","","","",""
"Huang__Hsien.Ming",3,"","","","","","","","","","","","","","","","","","","","","","","","","",""
"Jang__Howook",3,"","","","","","middle.school","","","","","","","","","","","","","","","","","","","",""
"Jochems__Wim",3,"","","","","","collaborative.learning","","","","","","","","","","","","","","","","","","","",""
"Jones__Chris",3,"","","","","","learning.environment","","social.interaction","","","","","","","","","","","","","","","","","",""
"Kang__Myunghee",3,"","","","","","middle.school","","","","","","","","","","","","","","","","","","","",""
"Koschmann__Tim",3,"","","","","","learning.environment","","","","","","","","","","","","","","","","","","","",""
"LeBaron__Curtis",3,"","","","","","learning.environment","","","","","","","","","","","","","","","","","","","",""
"Lucena__Carlos_J.P.",3,"","","","","","group.discussion","","","","","","","","","","","","","","","","","","","",""
